build,runs,win_rate,wilson_low,wilson_high,mean_upgrades,mean_essential_spending
reinforced/explosive/protection/precision,256,0.64453125,0.5841550362636819,0.7006338505042567,6.609375,214.69698224416854
flexible/air_focus/protection/precision,256,0.640625,0.5801674105112253,0.6969244793170393,6.04296875,217.03451496079884
aviation/torpedo/control/precision,256,0.61328125,0.5523681228806132,0.6708447883699333,6.51953125,206.7861107960588
flexible/air_focus/control/cadence,256,0.609375,0.5484127914140849,0.6671031228967875,5.96484375,216.4843735405319
aviation/air_focus/control/precision,256,0.6015625,0.5405138996853006,0.6596080207462239,5.984375,214.156718345385
flexible/heavy/economy/cadence,256,0.59765625,0.5365702995763066,0.6558546239155438,6.64453125,192.71242950188486
flexible/air_focus/protection/cadence,256,0.59375,0.5326305715645441,0.6520973549876323,5.8984375,217.62725033341374
flexible/heavy/economy/precision,256,0.58984375,0.5286946979346077,0.6483362316778947,6.6875,192.6410834526407
flexible/air_focus/economy/precision,256,0.58984375,0.5286946979346077,0.6483362316778947,5.9296875,219.3426880262219
endurance/mixed/economy/cadence,256,0.578125,0.5169100388252996,0.6370298999681807,6.50390625,186.05800471742836
aviation/air_focus/protection/precision,256,0.578125,0.5169100388252996,0.6370298999681807,5.875,213.86205227357848
endurance/mixed/economy/precision,256,0.57421875,0.5129894223122974,0.6332535195415089,6.55859375,184.0245005723065
fast/mixed/economy/precision,256,0.55859375,0.49734461376290884,0.6181103403322014,6.765625,186.7236553643168
aviation/air_focus/control/cadence,256,0.55859375,0.49734461376290884,0.6181103403322014,5.84765625,214.04127896209988
fast/mixed/economy/cadence,256,0.5546875,0.4934427673956734,0.614315189759763,6.70703125,188.25115506475368
reinforced/explosive/control/cadence,256,0.546875,0.4856502298943122,0.606713733381776,6.6796875,216.2692551715706
aviation/air_focus/protection/cadence,256,0.546875,0.4856502298943122,0.606713733381776,5.73046875,212.61172048282205
endurance/air_focus/control/precision,256,0.53515625,0.4739891850542932,0.595283787402773,5.765625,189.06016669396507
